listing_id,city,district,listing_name,property_type,listing_type,bedrooms,baths,guests,adr_usd,occupancy,ttm_revenue,avg_stay,rating,reviews,registered,source
638008480648043351,Da Nang,Hải Châu District,KenKeSu-2adjacent floors-Cozy home,villa,Entire rental unit,4,4.0,8,80.1,0.687,16575.0,3.6,4.97,39,False,sourced-airroi
1377365409535265989,Ho Chi Minh City,,3BR | 5min to Metro  | Fast-Reply Host,apartment,Entire rental unit,3,2.0,6,68.9,0.658,16488.0,7.7,4.38,16,False,sourced-airroi
1178519986306136798,Ho Chi Minh City,District 4,Căn 100m2; 3 BRS; 2 toilets; near D1 5 minutes,apartment,Entire rental unit,3,1.0,6,62.9,0.941,16472.0,3.7,4.77,48,False,sourced-airroi
1402650024877015906,Ho Chi Minh City,,Japandi Retreat 2BR/1WC• Central D1; Walk Bui Vien,apartment,Entire rental unit,2,1.0,4,97.2,0.46,16413.0,3.2,4.89,36,False,sourced-airroi
1386534401768293918,Da Nang,,20% OFF - Duplex 2BR 2Bath 100m² Skyline Views,apartment,Entire serviced apartment,2,2.0,5,88.6,0.485,16290.0,5.4,5.0,61,False,sourced-airroi
1357254439208329106,Ho Chi Minh City,,The Galleria 3Br Luxury Interior by chiHome,villa,Entire rental unit,3,2.0,6,106.3,0.403,16185.0,3.9,5.0,13,False,sourced-airroi
23882581,Ho Chi Minh City,District 1,3BR Apt *City Center*5mins walk to BenThanh Market,apartment,Entire rental unit,3,2.0,6,76.7,0.581,16066.0,3.3,4.67,200,False,sourced-airroi
711225096904073406,Ho Chi Minh City,District 4,“Elegant 4BR Apartment with River View in Saigon”,apartment,Entire condo,4,2.0,8,104.6,0.457,15998.0,3.8,4.94,52,False,sourced-airroi
1414855302131701494,Da Nang,,High-Floor Duplex 2BR 2BA | 100m² Skyline Views,apartment,Entire serviced apartment,2,2.0,5,89.2,0.463,15970.0,3.0,4.94,71,False,sourced-airroi
1331507093943308869,Da Lat,,2-storey penthouse located in the center of Da Lat,villa,Entire rental unit,3,3.0,6,105.5,0.395,15946.0,3.0,4.99,84,False,sourced-airroi
1315927078893002806,Da Nang,Hải Châu District,Camellia Home,villa,Entire home,3,3.5,8,70.4,0.813,15934.0,2.1,4.9,48,False,sourced-airroi
1341503087358629830,Da Nang,,Apartment 3108 facing My Khe beach; 03 bedrooms,apartment,Entire rental unit,3,2.0,6,75.6,0.612,15816.0,10.9,4.5,16,False,sourced-airroi
1220618189939106150,Ho Chi Minh City,District 7,Comfort &Peaceful 3BRs at Phu My Hung-Next to SECC,apartment,Entire rental unit,3,2.0,6,83.5,0.523,15747.0,5.0,4.95,39,False,sourced-airroi
815516368820181027,Da Lat,Phường 3,apartment for rent,apartment,Entire rental unit,3,2.0,6,61.6,0.696,15743.0,2.0,4.85,209,False,sourced-airroi
31276136,Da Nang,Hải Châu District,3BR in house /5' drive MYKHE-Han Market/ URI HOUSE,villa,Entire rental unit,3,3.0,5,66.7,0.66,15709.0,2.8,4.93,61,False,sourced-airroi
977972610011068743,Da Nang,Ngũ Hành Sơn District,MH Apartment 3Bedroom Ocean View,apartment,Entire rental unit,3,2.0,7,77.5,0.548,15563.0,3.8,4.58,19,False,sourced-airroi
1376108702739860288,Da Nang,,4BRs center | free pool | free airport in May,villa,Entire villa,4,4.0,8,111.3,0.37,15481.0,3.3,4.92,59,False,sourced-airroi
49063339,Da Nang,Ngũ Hành Sơn District,Daisy Purama Resort Villa Đà Nẵng 5* Beachfront,villa,Entire villa,4,4.0,8,335.1,0.184,15455.0,3.1,0.0,2,False,sourced-airroi
967076508082785931,Da Nang,Sơn Trà District,Family Suite | 2 Bedrooms Apartment | My Khe Beach,apartment,Entire rental unit,2,1.0,4,59.5,0.742,15431.0,6.2,4.94,49,False,sourced-airroi
1232416127252145239,Da Nang,Hải Châu District,2-Bdr apt with 3 separate beds besides Han River.,apartment,Entire condo,3,2.0,5,83.8,0.503,15384.0,3.4,4.71,35,False,sourced-airroi
1523446208774641776,Da Nang,,Luxury RiverSide Apartment - 3 Bedrooms with pool,apartment,Entire rental unit,3,2.0,7,84.4,0.482,15377.0,3.7,4.81,36,False,sourced-airroi
1152672304166399763,Da Nang,Ngũ Hành Sơn District,Apt Sunny with seaview,apartment,Entire rental unit,2,1.0,4,55.9,0.842,15302.0,9.2,4.96,27,False,sourced-airroi
854995929603255402,Ho Chi Minh City,District 3,Central Cozy 3BR Serviced Apartment-Prime Location,apartment,Entire serviced apartment,3,2.0,6,97.4,0.422,15276.0,4.2,4.82,22,False,sourced-airroi
1238377668513029443,Da Lat,Phường 10,Evangeline in Dalat centre - Flexible in/out time,villa,Entire home,3,3.0,7,79.4,0.62,15274.0,6.8,4.95,20,False,sourced-airroi
1131217202826920910,Ho Chi Minh City,Binh Thanh District,L81+Vincom view; spacious; fully equipped [3-bed],apartment,Entire rental unit,3,2.0,6,82.4,0.523,15235.0,2.7,4.84,56,False,sourced-airroi
741537537615138727,Da Nang,Sơn Trà District,Sanayen Executive Apartment| Pool View| Kitchen,apartment,Entire serviced apartment,4,4.0,8,153.7,0.421,14909.0,3.5,4.88,26,False,sourced-airroi
1522196518555018126,Da Nang,,Luxury Riverside Apartment-3 Bedroom with Pool,apartment,Entire rental unit,3,2.0,6,84.4,0.466,14895.0,3.3,4.9,21,False,sourced-airroi
1264192466959663416,Ho Chi Minh City,Binh Thanh District,Casa Co Core - Eclectic; Soulful Old Saigon Home,villa,Private room in home,4,2.0,8,109.4,0.449,14854.0,4.9,4.89,18,False,sourced-airroi
601313207209246606,Ho Chi Minh City,District 3,SPACIOUS 3DR FOR FAMILIES AND GROUPS IN THE CENTER,apartment,Entire serviced apartment,3,2.0,6,94.7,0.405,14780.0,4.5,4.83,53,False,sourced-airroi
761186394446511644,Ho Chi Minh City,District 4,Modern 2BR APT Bathtub in the Heart of Bui Vien,apartment,Entire condo,2,1.0,4,54.0,0.745,14611.0,3.8,4.77,133,False,sourced-airroi
940985146694266923,Ho Chi Minh City,Binh Thanh District,【4 BedRoom HighFloor-River View】【FREE PICK UP】,apartment,Entire rental unit,4,3.0,10,174.9,0.237,14598.0,3.4,4.75,20,False,sourced-airroi
777366659294361666,Da Lat,Phường 4,Thong City View House,villa,Entire rental unit,3,3.0,6,87.3,0.452,14529.0,2.4,4.98,121,False,sourced-airroi
1292337839283439196,Da Nang,Ngũ Hành Sơn District,3-Bedroom apartment sea view,apartment,Entire rental unit,3,2.0,7,75.7,0.539,14522.0,5.6,4.3,27,False,sourced-airroi
709098196028180950,Da Lat,Phường 8,TeAmo Home for rent with BBQ yard,villa,Entire cabin,4,4.5,10,101.2,0.733,14477.0,3.7,4.91,11,False,sourced-airroi
1559342818113650577,Ho Chi Minh City,,The Tresor Luxury Apartment 3 bedrooms; 2 bathrooms,apartment,Entire rental unit,3,2.0,6,80.3,0.468,14452.0,3.8,4.88,17,False,sourced-airroi
1396063714335997223,Ho Chi Minh City,,River view 1 - Amazing 3BRs - Free Gym & Pool,apartment,Entire rental unit,3,2.0,6,67.5,0.567,14373.0,4.0,4.94,17,False,sourced-airroi
952720871360678019,Ho Chi Minh City,District 7,Spacious 3Brs- Amazing Pool&Gym -D7 -Dhome SaiGon,villa,Entire condo,3,2.0,6,72.1,0.632,14365.0,4.7,4.91,100,False,sourced-airroi
870044089769487670,Ho Chi Minh City,Binh Thanh District,Premium 2BR Residence – Landmark 3; Amazing View,apartment,Entire rental unit,2,1.0,4,61.2,0.632,14249.0,3.3,4.83,103,False,sourced-airroi
1518902157233177068,Ho Chi Minh City,,Tuns House - Central 3BR; Steps from Ben Thanh,villa,Entire home,3,2.0,6,88.4,0.416,13957.0,3.5,4.89,28,False,sourced-airroi
1207189718982040114,Da Lat,Phường 9,Homie Bread,villa,Entire home,3,3.0,6,78.8,0.528,13935.0,2.4,4.7,23,False,sourced-airroi
